한자,음,훈,전체,훈음,구분
價,가,값,價 (값 가),값 가,중
街,가,거리,街 (거리 가),거리 가,중
假,가,거짓,假 (거짓 가),거짓 가,중
歌,가,노래,歌 (노래 가),노래 가,중
加,가,더할,加 (더할 가),더할 가,중
架,가,시렁,架 (시렁 가),시렁 가,고
家,가,집,家 (집 가),집 가,중
可,가,옳을,可(옳을 가),옳을 가,중
暇 ,가,겨를,暇 (겨를 가),겨를 가,고
佳 ,가,아름다울,佳 (아름다울 가),아름다울 가,중
覺,각,깨달을,覺 (깨달을 각),깨달을 각,고
閣,각,누각,閣 (누각 각),누각 각,고
脚,각,다리,脚 (다리 각),다리 각,중
却,각,물리칠,却 (물리칠 각),물리칠 각,고
角,각,뿔,角 (뿔 각),뿔 각,중
各 ,각,각각,各 (각각 각),각각 각,중
刻 ,각,새길,刻 (새길 각),새길 각,고
肝,간,간,肝 (간 간),간 간,고
姦,간,간사할,姦 (간사할 간),간사할 간,고
簡,간,대쪽,簡 (대쪽 간),대쪽 간,고
看,간,볼,看 (볼 간),볼 간,중
間,간,사이,間 (사이 간),사이 간,중
懇,간,정성,懇 (정성 간),정성 간,고
幹,간,줄기,幹 (줄기 간),줄기 간,고
干 ,간,방패,干 (방패 간),방패 간,중
刊 ,간,책 펴낼,刊 (책 펴낼 간),책 펴낼 간,고
渴 ,갈,목마를,渴 (목마를 갈),목마를 갈,중
敢,감,감히,敢 (감히 감),감히 감,중
鑑,감,거울,鑑 (거울 감),거울 감,고
甘,감,달,甘 (달 감),달 감,중
減,감,덜,減 (덜 감),덜 감,중
感 ,감,느낄,感 (느낄 감),느낄 감,중
監 ,감,볼,監 (볼 감),볼 감,고
甲 ,갑,갑옷,甲 (갑옷 갑),갑옷 갑,중
江,강,강,江 (강 강),강 강,중
鋼,강,강철,鋼 (강철 강),강철 강,고
降,강,내릴,降 (내릴 강),내릴 강,중
綱,강,벼리,綱 (벼리 강),벼리 강,고
講,강,익힐,講 (익힐 강),익힐 강,중
康,강,편안할,康 (편안할 강),편안할 강,고
剛 ,강,굳셀,剛 (굳셀 강),굳셀 강,고
強 ,강,강할,強 (강할 강),강할 강,중
改,개,고칠,改 (고칠 개),고칠 개,중
皆,개,다,皆 (다 개),다 개,중
槪,개,대개,槪 (대개 개),대개 개,고
蓋,개,덮을,蓋 (덮을 개),덮을 개,고
慨,개,분개할,慨 (분개할 개),분개할 개,고
開,개,열,開 (열 개),열 개,중
介 ,개,끼일,介 (끼일 개),끼일 개,고
個 ,개,낱,個 (낱 개),낱 개,중
客 ,객,손님,客 (손님 객),손님 객,중
更 ,갱,다시,更 (다시 갱),다시 갱,중
據,거,근거,據 (근거 거),근거 거,고
擧,거,들,擧 (들 거),들 거,중
距,거,떨어질,距 (떨어질 거),떨어질 거,고
居,거,살,居 (살 거),살 거,중
巨,거,클,巨 (클 거),클 거,중
車,거,수레,車 (수레 거),수레 거,중
去 ,거,갈,去 (갈 거),갈 거,중
拒 ,거,막을,拒 (막을 거),막을 거,고
健,건,굳셀,健 (굳셀 건),굳셀 건,고
建,건,세울,建 (세울 건),세울 건,중
件 ,건,사건,件 (사건 건),사건 건,고
乾 ,건,하늘,乾 (하늘 건),하늘 건,중
傑,걸,뛰어날,傑 (뛰어날 걸),뛰어날 걸,고
乞 ,걸,빌,乞 (빌 걸),빌 걸,고
檢,검,검사할,檢 (검사할 검),검사할 검,고
劍,검,칼,劍 (칼 검),칼 검,고
儉 ,검,검소할,儉 (검소할 검),검소할 검,고
激,격,과격할,激 (과격할 격),과격할 격,고
格,격,바로잡을,格 (바로잡을 격),바로잡을 격,고
隔,격,사이 뜰,隔 (사이 뜰 격),사이 뜰 격,고
擊 ,격,부딪칠,擊 (부딪칠 격),부딪칠 격,고
犬,견,개,犬 (개 견),개 견,중
絹,견,명주,絹 (명주 견),명주 견,고
遣,견,보낼,遣 (보낼 견),보낼 견,고
見,견,볼,見 (볼 견),볼 견,중
肩,견,어깨,肩 (어깨 견),어깨 견,고
堅 ,견,굳을,堅 (굳을 견),굳을 견,중
牽 ,견,끌,牽 (끌 견),끌 견,고
潔,결,깨끗할,潔 (깨끗할 결),깨끗할 결,중
結,결,맺을,結 (맺을 결),맺을 결,중
缺 ,결,이지러질,缺 (이지러질 결),이지러질 결,고
決 ,결,터질,決 (터질 결),터질 결,중
謙,겸,겸손할,謙 (겸손할 겸),겸손할 겸,고
兼 ,겸,겸할,兼 (겸할 겸),겸할 겸,고
輕,경,가벼울,輕 (가벼울 경),가벼울 경,중
鏡,경,거울,鏡 (거울 경),거울 경,고
競,경,겨룰,競 (겨룰 경),겨룰 경,중
