한자,음,훈,전체,훈음,구분
價,가,값,價 (값 가),값 가,중
街,가,거리,街 (거리 가),거리 가,중
假,가,거짓,假 (거짓 가),거짓 가,중
歌,가,노래,歌 (노래 가),노래 가,중
加,가,더할,加 (더할 가),더할 가,중
架,가,시렁,架 (시렁 가),시렁 가,고
可,가,옳을,可(옳을 가),옳을 가,중
暇 ,가,겨를,暇 (겨를 가),겨를 가,고
佳 ,가,아름다울,佳 (아름다울 가),아름다울 가,중
覺,각,깨달을,覺 (깨달을 각),깨달을 각,고
閣,각,누각,閣 (누각 각),누각 각,고
脚,각,다리,脚 (다리 각),다리 각,중
却,각,물리칠,却 (물리칠 각),물리칠 각,고
角,각,뿔,角 (뿔 각),뿔 각,중
各 ,각,각각,各 (각각 각),각각 각,중
刻 ,각,새길,刻 (새길 각),새길 각,고
肝,간,간,肝 (간 간),간 간,고
姦,간,간사할,姦 (간사할 간),간사할 간,고
簡,간,대쪽,簡 (대쪽 간),대쪽 간,고
灰,회,재,灰 (재 회),재 회,기
